STAID,STATE,FIPS,LAT_DMS , LON_DMS,WELLDPTH  ,SAMPDATE ,SAMPTIME,AS_RMRK,AS_CONC,LAT_DD,LON_DD
16S,2S,6N,6S,7S,10N,9S,5S,1S,10N,12N,12N
4.34653E+14,NH,33003,434653,710638,90,4-Sep-92,1800,<,1,43.78139,71.11056
4.34608E+14,NH,33003,434608,710640,74.5,2-Sep-92,1700,<,1,43.76889,71.11111
4.25802E+14,NH,33015,425802,710653,16.6,16-Aug-84,1130,<,1,42.96722,71.11472
4.25013E+14,NH,33015,425013,710701,25,9-Apr-87,1400,.,3,42.83694,71.11694
4.25801E+14,NH,33015,425801,710715,13.5,16-Aug-84,1330,.,1,42.96695,71.12083
4.25845E+14,NH,33015,425845,710725,27,15-Aug-84,1430,.,1,42.97917,71.12361
4.30201E+14,NH,33015,430201,710728,44.5,8-Nov-84,1100,<,1,43.03361,71.12444
4.30211E+14,NH,33015,430211,710738,38.4,8-Nov-84,1330,<,1,43.03639,71.12722
4.31621E+14,NH,33017,431616,710741,,20-Aug-81,1115,.,1,43.27111,71.12805
4.20853E+14,MA,25021,420853,710743,,25-Aug-86,1000,<,1,42.14805,71.12861
4.21057E+14,MA,25021,421057,710812,60,25-Aug-86,1400,<,1,42.1825,71.13667
4.2133E+14,MA,25021,421330,710816,10,13-Aug-86,1200,.,20,42.225,71.13778
4.2074E+14,MA,25021,420740,710817,62,14-Sep-86,1200,<,1,42.12778,71.13805
4.35815E+14,NH,33003,435815,710823,50,28-Aug-92,1330,<,1,43.97083,71.13972
4.34344E+14,NH,33003,434344,710904,18.5,5-Sep-92,1430,<,1,43.72889,71.15111
4.35715E+14,NH,33003,435715,710913,49,4-Sep-92,1530,<,1,43.95417,71.15361
